exp_score,nov_score,beta,learning_rate,margin,mb_size,num_epochs,num_output,shuffled,train_on_second_neighbors
0.08203125,0.041015625,0.1,0.1,50.0,2,500,32,False,True
0.080078125,0.041015625,0.3,0.1,50.0,2,500,32,False,True
0.068359375,0.041015625,0.1,0.1,100.0,2,500,32,False,True
0.068359375,0.041015625,0.3,0.1,100.0,2,500,32,False,True
0.10546875,0.041015625,0.1,0.1,50.0,2,500,256,False,True
0.1015625,0.041015625,0.3,0.1,50.0,2,500,256,False,True
0.08984375,0.041015625,0.1,0.1,100.0,2,500,256,False,True
0.083984375,0.041015625,0.3,0.1,100.0,2,500,256,False,True
0.064453125,0.041015625,0.1,0.1,50.0,2,500,32,True,True
0.060546875,0.041015625,0.3,0.1,50.0,2,500,32,True,True
0.06640625,0.041015625,0.1,0.1,100.0,2,500,32,True,True
0.076171875,0.041015625,0.3,0.1,100.0,2,500,32,True,True
0.078125,0.041015625,0.1,0.1,50.0,2,500,256,True,True
0.0859375,0.041015625,0.3,0.1,50.0,2,500,256,True,True
0.072265625,0.041015625,0.1,0.1,100.0,2,500,256,True,True
0.076171875,0.041015625,0.3,0.1,100.0,2,500,256,True,True
