exp_score,nov_score,beta,learning_rate,margin,mb_size,num_epochs,num_output,shuffled,train_on_second_neighbors
0.08984375,0.029296875,0.1,0.1,50.0,2,500,32,False,True
0.099609375,0.029296875,0.3,0.1,50.0,2,500,32,False,True
0.078125,0.029296875,0.1,0.1,100.0,2,500,32,False,True
0.09375,0.029296875,0.3,0.1,100.0,2,500,32,False,True
0.1328125,0.029296875,0.1,0.1,50.0,2,500,256,False,True
0.125,0.029296875,0.3,0.1,50.0,2,500,256,False,True
0.115234375,0.029296875,0.1,0.1,100.0,2,500,256,False,True
0.107421875,0.029296875,0.3,0.1,100.0,2,500,256,False,True
0.0703125,0.029296875,0.1,0.1,50.0,2,500,32,True,True
0.068359375,0.029296875,0.3,0.1,50.0,2,500,32,True,True
0.060546875,0.029296875,0.1,0.1,100.0,2,500,32,True,True
0.0703125,0.029296875,0.3,0.1,100.0,2,500,32,True,True
0.064453125,0.029296875,0.1,0.1,50.0,2,500,256,True,True
0.07421875,0.029296875,0.3,0.1,50.0,2,500,256,True,True
0.06640625,0.029296875,0.1,0.1,100.0,2,500,256,True,True
0.076171875,0.029296875,0.3,0.1,100.0,2,500,256,True,True
