exp_score,nov_score,beta,learning_rate,margin,mb_size,num_epochs,num_output,shuffled,train_on_second_neighbors
0.125,0.04296875,0.1,0.1,50.0,2,500,32,False,True
0.1015625,0.04296875,0.3,0.1,50.0,2,500,32,False,True
0.103515625,0.04296875,0.1,0.1,100.0,2,500,32,False,True
0.091796875,0.04296875,0.3,0.1,100.0,2,500,32,False,True
0.1484375,0.04296875,0.1,0.1,50.0,2,500,256,False,True
0.15234375,0.04296875,0.3,0.1,50.0,2,500,256,False,True
0.125,0.04296875,0.1,0.1,100.0,2,500,256,False,True
0.126953125,0.04296875,0.3,0.1,100.0,2,500,256,False,True
0.09765625,0.04296875,0.1,0.1,50.0,2,500,32,True,True
0.083984375,0.04296875,0.3,0.1,50.0,2,500,32,True,True
0.07421875,0.04296875,0.1,0.1,100.0,2,500,32,True,True
0.07421875,0.04296875,0.3,0.1,100.0,2,500,32,True,True
0.0859375,0.04296875,0.1,0.1,50.0,2,500,256,True,True
0.08984375,0.04296875,0.3,0.1,50.0,2,500,256,True,True
0.0859375,0.04296875,0.1,0.1,100.0,2,500,256,True,True
0.087890625,0.04296875,0.3,0.1,100.0,2,500,256,True,True
